frame,timestamp,class,model_class,track_id,confidence,x1,y1,x2,y2
0,0.0,person,person,1,0.9089,1185.47,277.31,1264.24,439.21
0,0.0,person,person,2,0.841,981.98,17.98,1019.3,80.61
0,0.0,person,person,3,0.8071,1093.69,58.4,1135.3,136.74
0,0.0,person,person,4,0.7888,648.24,671.09,786.87,857.03
0,0.0,person,person,5,0.7804,1842.93,454.24,1919.77,550.88
0,0.0,person,person,6,0.7704,137.09,218.26,197.21,292.74
0,0.0,racket,tennis racket,7,0.7105,759.31,720.06,800.18,757.94
0,0.0,person,person,8,0.6987,867.12,2.81,897.58,55.25
0,0.0,person,person,9,0.6547,768.62,54.7,816.04,133.7
0,0.0,person,person,10,0.5595,365.44,84.3,389.29,134.06
0,0.0,ball,sports ball,11,0.4438,1023.04,273.19,1034.04,281.47
0,0.0,person,person,12,0.4377,63.47,424.26,108.41,478.54
0,0.0,person,person,13,0.3317,774.64,53.63,807.96,133.32
0,0.0,person,person,14,0.3226,1430.63,55.42,1470.94,87.17
1,0.033,person,person,1,0.901,1185.8,277.26,1264.68,439.4
1,0.033,person,person,2,0.8315,983.03,18.11,1020.27,80.65
1,0.033,person,person,3,0.8028,1093.65,57.75,1135.52,136.53
1,0.033,person,person,4,0.7634,644.3,669.18,778.43,848.99
1,0.033,person,person,5,0.7662,1844.41,456.71,1919.35,550.94
1,0.033,person,person,6,0.765,136.76,218.28,196.86,292.72
1,0.033,racket,tennis racket,7,0.7243,752.29,714.3,794.33,753.29
1,0.033,person,person,8,0.738,865.85,3.29,895.99,55.29
1,0.033,person,person,9,0.7609,770.46,54.01,818.12,133.51
1,0.033,person,person,10,0.3769,365.73,85.8,389.49,135.39
1,0.033,ball,sports ball,11,0.4638,1023.07,273.22,1034.06,281.49
1,0.033,person,person,12,0.443,63.59,424.28,108.45,478.46
1,0.033,person,person,14,0.285,1430.65,55.47,1470.92,87.2
2,0.067,person,person,1,0.8925,1186.61,278.15,1265.24,439.69
2,0.067,person,person,2,0.8389,984.2,17.85,1021.51,80.7
2,0.067,person,person,3,0.8134,1093.24,57.14,1135.34,136.16
2,0.067,person,person,4,0.8354,638.42,667.02,772.16,846.15
2,0.067,person,person,5,0.8349,1845.14,457.29,1919.78,551.15
2,0.067,person,person,6,0.7806,136.77,218.29,196.85,292.68
2,0.067,racket,tennis racket,7,0.7537,745.55,708.52,787.42,747.36
